Time,Wind,Temp,Price
2020-03-06 00:00:00,4.21939393939394,-1.4396039603960396,1.7062400000000002
2020-03-06 01:00:00,4.273333333333333,-1.5831683168316832,1.91456
2020-03-06 02:00:00,4.338181818181818,-1.7465346534653463,1.85504
2020-03-06 03:00:00,4.289090909090909,-1.900990099009901,1.85876
2020-03-06 04:00:00,4.296341463414635,-2.0502487562189056,1.89472
2020-03-06 05:00:00,4.264634146341463,-2.194059405940594,2.0968400000000003
2020-03-06 06:00:00,4.256441717791411,-2.413432835820896,3.06528
2020-03-06 07:00:00,4.167073170731707,-2.4188118811881187,3.5712
2020-03-06 08:00:00,4.25,-2.143069306930693,5.322080000000001
2020-03-06 09:00:00,4.435151515151515,-1.7168316831683168,5.46964
2020-03-06 10:00:00,4.603030303030304,-1.2757425742574258,5.44484
2020-03-06 11:00:00,4.715757575757576,-0.8603960396039605,4.999680000000001
2020-03-06 12:00:00,4.79030303030303,-0.5044554455445545,5.0406
2020-03-06 13:00:00,4.818181818181818,-0.2074257425742574,4.8806400000000005
2020-03-06 14:00:00,4.65246913580247,-0.0109452736318407,4.87568
2020-03-06 15:00:00,4.456707317073171,-0.1059405940594059,3.86508
2020-03-06 16:00:00,3.834756097560976,-0.6217821782178218,3.22152
2020-03-06 17:00:00,3.4530487804878045,-1.5321782178217822,3.4794400000000003
2020-03-06 18:00:00,3.5109090909090908,-2.1633663366336635,4.87568
2020-03-06 19:00:00,3.5684848484848484,-2.504950495049505,6.1442
2020-03-06 20:00:00,3.4945454545454546,-2.743564356435644,3.29592
2020-03-06 21:00:00,3.426060606060606,-2.977722772277228,1.81784
2020-03-06 22:00:00,3.39030303030303,-3.143564356435644,2.10056
2020-03-06 23:00:00,3.257575757575758,-3.395049504950495,1.7186400000000002
2020-03-07 00:00:00,3.1823170731707315,-3.583582089552239,1.6058
2020-03-07 01:00:00,3.112727272727273,-3.752970297029703,1.57976
2020-03-07 02:00:00,3.0345454545454547,-3.998009950248756,1.54876
2020-03-07 03:00:00,3.083030303030303,-4.098019801980198,1.54752
2020-03-07 04:00:00,3.1230303030303026,-4.227227722772277,1.55992
2020-03-07 05:00:00,3.2325153374233127,-4.245273631840797,1.60084
2020-03-07 06:00:00,3.365853658536585,-4.117326732673267,1.5128
2020-03-07 07:00:00,3.463414634146341,-3.401485148514852,1.60208
2020-03-07 08:00:00,3.506748466257669,-2.418407960199005,2.42048
2020-03-07 09:00:00,3.56319018404908,-1.3388059701492538,2.72552
2020-03-07 10:00:00,3.728048780487805,-0.2886138613861386,2.84704
2020-03-07 11:00:00,3.739024390243903,0.5673267326732673,3.0318
2020-03-07 12:00:00,3.670731707317073,1.1613861386138613,3.0814
2020-03-07 13:00:00,3.492682926829268,1.4792079207920792,3.13348
2020-03-07 14:00:00,3.231707317073171,1.5198019801980198,3.3418
2020-03-07 15:00:00,2.9939024390243905,1.1757425742574257,3.38396
2020-03-07 16:00:00,2.740490797546012,0.2445544554455445,2.8892
2020-03-07 17:00:00,2.6420731707317078,-0.9113861386138612,2.84456
2020-03-07 18:00:00,2.6304878048780487,-1.6529702970297029,3.7076
2020-03-07 19:00:00,2.703680981595092,-2.152970297029703,4.695880000000001
2020-03-07 20:00:00,2.622699386503068,-2.5980198019801977,2.8904400000000003
2020-03-07 21:00:00,2.63680981595092,-3.0450495049504958,2.72056
2020-03-07 22:00:00,2.670552147239264,-3.4194029850746266,2.79
2020-03-07 23:00:00,2.735365853658537,-3.767821782178218,2.0708
2020-03-08 00:00:00,2.813939393939394,-3.982673267326733,1.48924
2020-03-08 01:00:00,2.8866666666666667,-4.2,1.22884
2020-03-08 02:00:00,2.995757575757576,-4.394059405940594,1.19412
2020-03-08 03:00:00,3.157317073170732,-4.537313432835821,1.17428
2020-03-08 04:00:00,3.338181818181818,-4.633168316831683,1.11848
2020-03-08 05:00:00,3.4012121212121214,-4.576237623762376,1.07384
2020-03-08 06:00:00,3.632727272727273,-4.248019801980198,1.08128
2020-03-08 07:00:00,4.071515151515151,-3.262376237623762,1.07508
2020-03-08 08:00:00,4.456969696969697,-1.9554455445544556,1.14204
2020-03-08 09:00:00,4.9375757575757575,-0.5331683168316832,1.16932
2020-03-08 10:00:00,5.5060975609756095,0.6208955223880597,1.1631200000000002
2020-03-08 11:00:00,6.026219512195122,1.4925742574257426,1.18792
2020-03-08 12:00:00,6.41939393939394,2.005940594059406,1.1656
2020-03-08 13:00:00,6.678787878787879,2.237623762376238,1.10732
2020-03-08 14:00:00,6.805487804878048,2.229353233830846,1.04532
2020-03-08 15:00:00,6.8785276073619634,2.057425742574257,1.08748
2020-03-08 16:00:00,6.979393939393939,1.707920792079208,1.18544
2020-03-08 17:00:00,7.121951219512195,1.4184079601990052,1.20652
2020-03-08 18:00:00,7.366666666666666,1.3613861386138617,1.24496
2020-03-08 19:00:00,7.580487804878049,1.4213930348258703,1.31316
2020-03-08 20:00:00,7.714024390243902,1.463681592039801,1.3082
2020-03-08 21:00:00,7.696969696969697,1.5054455445544557,1.2524
2020-03-08 22:00:00,7.636363636363637,1.5970297029702971,1.2300799999999998
2020-03-08 23:00:00,7.635151515151515,1.6702970297029702,1.19164
2020-03-09 00:00:00,7.606666666666666,1.7594059405940592,1.147
2020-03-09 01:00:00,7.63939393939394,1.853960396039604,1.08376
2020-03-09 02:00:00,7.590303030303031,1.9218905472636816,1.07756
2020-03-09 03:00:00,7.590909090909091,1.9945273631840796,1.08252
2020-03-09 04:00:00,7.41939393939394,2.0796019900497518,1.10484
